hand1,hand2,table1,table2,table3,table4,table5,numPlayers,position,playerChips,action,rank
Qs,7s,Qh,Th,Tc,8s,5s,3,2,95,k,744386
Ah,2h,Qh,Th,Tc,8s,5s,3,3,3,k,391033
4c,Ks,5c,8d,6c,Kh,3d,3,1,0,b,396529
Jh,Kc,5c,8d,6c,Kh,3d,3,2,34,c,397063
4c,Ks,5c,8d,6c,Kh,3d,3,1,0,A,396529
Tc,Jh,9d,Kc,8c,9c,Qc,5,1,14,b,2194055
Ks,Qd,9d,Kc,8c,9c,Qc,5,2,63,c,744582
6c,5c,5s,9c,8s,6d,4d,5,4,12,k,743308
8c,5h,5s,9c,8s,6d,4d,5,5,7,k,743646
Qh,Qc,5d,4s,Ts,5s,7d,4,1,11,k,744323
Tc,Kh,5d,4s,Ts,5s,7d,4,3,4,k,743988
Kh,Qh,4s,Kc,9s,8d,7d,5,2,4,k,397247
Ah,Th,4s,Kc,9s,8d,7d,5,3,7,b,368348
Kh,Qh,4s,Kc,9s,8d,7d,5,2,4,c,397247
3c,2c,5d,9c,Tc,9s,9h,5,4,117,k,1115169
Ks,Ac,5d,9c,Tc,9s,9h,5,5,12,k,1115229
Kh,Qd,5c,9d,Jd,Tc,8s,6,2,16,b,1485183
8d,Js,5c,9d,Jd,Tc,8s,6,4,4,c,744193
Js,9s,4s,6d,7d,Qh,Qs,6,1,68,k,394880
8s,7s,4s,6d,7d,Qh,Qs,6,4,180,k,744347
Jh,Kh,4s,6d,7d,Qh,Qs,6,6,31,k,395244
3h,2d,7c,Ah,9h,3s,Th,7,2,37,b,375629
Ad,As,7c,Ah,9h,3s,Th,7,3,61,c,1116018
Ks,Jc,6s,9c,Tc,8h,4h,8,4,27,b,335393
Jh,Th,6s,9c,Tc,8h,4h,8,5,46,c,390487
Qh,7c,Qs,3h,Qd,3d,Th,8,1,127,b,2227889
Kd,3c,Qs,3h,Qd,3d,Th,8,2,98,c,2227781
6d,Jh,9d,Js,5d,9h,3d,7,1,244,k,744202
2h,As,9d,Js,5d,9h,3d,7,2,573,k,388820
6s,Ad,9d,Js,5d,9h,3d,7,5,212,k,388821
Tc,Qs,8c,8h,Js,Ks,Kd,7,1,572,k,744533
9h,4s,8c,8h,Js,Ks,Kd,7,2,868,k,744532
9s,6c,8c,8h,Js,Ks,Kd,7,6,244,k,744532
6s,Qc,6d,8h,Kc,3c,9d,8,2,98,k,382077
5h,5d,6d,8h,Kc,3c,9d,8,4,62,k,379840
8c,9h,6c,Kd,Ts,Qc,Td,8,2,13,k,390865
9c,Kc,6c,Kd,Ts,Qc,Td,8,4,10,k,744559
Tc,Js,5d,2c,3d,3h,7s,8,1,1,b,375120
Jh,Jc,5d,2c,3d,3h,7s,8,3,1,c,744125
Ac,Ts,Qh,2c,Ad,4s,Jd,8,3,4,k,399472
As,5s,Qh,2c,Ad,4s,Jd,8,8,21,k,399467
Tc,2c,Ts,2s,5s,Jd,7s,8,1,34,k,743947
Th,Jh,Ts,2s,5s,Jd,7s,8,4,11,k,744216
Kh,9c,Kc,Qc,8h,7c,3d,8,2,25,k,397247
Qd,Jc,Kc,Qc,8h,7c,3d,8,7,12,b,395245
Kh,9c,Kc,Qc,8h,7c,3d,8,2,25,c,397247
Qc,Th,9h,5s,7d,2d,3h,7,2,130,k,304437
As,6d,9h,5s,7d,2d,3h,7,7,123,k,359011
Td,9s,9d,Th,8h,5h,6d,7,1,10,k,744035
Ah,Ts,9d,Th,8h,5h,6d,7,5,5,k,390994
3d,2d,Jc,Kc,Jd,9d,Qd,8,2,2,b,2163044
Th,Kd,Jc,Kc,Jd,9d,Qd,8,8,6,r,1485183
3d,2d,Jc,Kc,Jd,9d,Qd,8,2,2,c,2163044
8s,8h,5c,Jd,6h,3c,7c,9,6,4,k,386065
4s,5d,5c,Jd,6h,3c,7c,9,8,1,b,1485177
8s,8h,5c,Jd,6h,3c,7c,9,6,4,c,386065
6h,6c,7d,4c,8h,8c,Th,6,1,4,k,743660
Jd,Js,7d,4c,8h,8c,Th,6,3,11,k,744193
Td,Ts,9s,Jc,6d,2c,7h,8,2,7,k,390486
Ah,Jh,9s,Jc,6d,2c,7h,8,8,9,b,393190
Td,Ts,9s,Jc,6d,2c,7h,8,2,7,c,390486
Qc,Tc,2d,Kc,Jc,Jd,6h,8,1,136,k,393063
5c,Ac,2d,Kc,Jc,Jd,6h,8,7,50,k,393241
Tc,Qc,5h,7c,2s,6c,Qd,10,10,0,c,394684
4c,3c,5h,7c,2s,6c,Qd,10,7,0,b,1485177
4c,3c,5h,7c,2s,6c,Qd,10,7,0,A,1485177
Jd,As,Ac,7s,Ad,Ks,Ah,10,5,6,b,2599218
Kc,4c,Ac,7s,Ad,Ks,Ah,10,6,4,c,2227925
Qc,Kh,3d,6h,Kc,Qd,7d,10,10,8,b,744580
As,Ks,3d,6h,Kc,Qd,7d,10,7,0,k,397623
As,Ks,3d,6h,Kc,Qd,7d,10,7,0,c,397623
As,Ks,3d,6h,Kc,Qd,7d,10,7,0,A,397623
Qd,Qc,5h,Ac,3d,6h,4h,10,1,9,k,395346
Kh,Kc,5h,Ac,3d,6h,4h,10,3,19,k,397543
Th,Js,Ts,As,5s,Jc,6d,10,10,2,c,744223
2d,Qs,Ts,As,5s,Jc,6d,10,2,4,b,366331
Ac,Ks,Jc,6c,3c,9d,2s,9,5,3,k,368515
Jd,Qc,Jc,6c,3c,9d,2s,9,9,5,k,392851
9h,9s,Kc,2s,9d,Jd,8h,9,4,1,b,1115214
Kh,Js,Kc,2s,9d,Jd,8h,9,5,1,c,744569
Ad,7d,Ac,5d,Kc,7s,Td,9,5,1,k,744690
Ah,Qc,Ac,5d,Kc,7s,Td,9,9,1,k,399654
4d,8s,2d,8h,4h,Ts,4s,9,2,0,k,2227790
Ac,Ad,2d,8h,4h,Ts,4s,9,5,0,b,744648
4d,8s,2d,8h,4h,Ts,4s,9,2,0,c,2227790
8d,Qd,Jc,Th,Qc,5c,8c,9,6,3,k,744363
Kd,Qs,Jc,Th,Qc,5c,8c,9,8,6,k,395247
Ks,Ah,Ad,Tc,8c,9c,6s,8,2,59,k,399627
Js,Qc,Ad,Tc,8c,9c,6s,8,7,0,b,1485182
Ks,Ah,Ad,Tc,8c,9c,6s,8,2,59,c,399627
Js,Qc,Ad,Tc,8c,9c,6s,8,7,0,A,1485182
Jc,5c,5d,Ac,Kh,Js,7h,6,1,24,b,744158
Qd,Th,5d,Ac,Kh,Js,7h,6,6,6,r,1485184
Jc,5c,5d,Ac,Kh,Js,7h,6,1,24,c,744158
Qc,Kd,6d,6s,4h,Qs,6h,5,1,24,k,2227820
Qd,9d,6d,6s,4h,Qs,6h,5,2,7,b,2227820
Qc,Kd,6d,6s,4h,Qs,6h,5,1,24,c,2227820
Qh,Jc,5h,Kd,8h,8d,Td,5,1,140,k,386473
Ah,9d,5h,Kd,8h,8d,Td,5,2,138,k,386654
5d,3d,4s,Th,3h,5h,Qh,4,1,5,k,743116
Qs,Td,4s,Th,3h,5h,Qh,4,4,5,k,744383
9d,Tc,6c,2h,9c,9s,Jd,4,2,2,b,1115187
Ad,6s,6c,2h,9c,9s,Jd,4,4,2,c,743833
Kc,Th,6h,Qd,6c,2d,Qc,6,1,94,k,744339
7h,5s,6h,Qd,6c,2d,Qc,6,2,94,k,744333
Td,Js,6h,Qd,6c,2d,Qc,6,3,413,k,744337
7s,Td,Kd,5s,4h,7c,2s,5,1,125,k,384244
Tc,8c,Kd,5s,4h,7c,2s,5,2,550,k,332829
6h,Qd,9d,Ac,Qh,4s,Jd,5,1,3,k,395415
Jc,As,9d,Ac,Qh,4s,Jd,5,5,4,b,744741
6h,Qd,9d,Ac,Qh,4s,Jd,5,1,3,c,395415
2d,Ac,2h,8s,8c,Ad,8h,4,2,2,k,2227848
7d,7c,2h,8s,8c,Ad,8h,4,4,1,b,2227841
2d,Ac,2h,8s,8c,Ad,8h,4,2,2,r,2227848
7d,7c,2h,8s,8c,Ad,8h,4,4,1,c,2227841
5h,5s,5c,9h,3c,9s,2h,4,3,0,b,2227804
As,Ah,5c,9h,3c,9s,2h,4,4,0,c,744708
As,Ah,5c,9h,3c,9s,2h,4,4,0,A,744708
Kd,Jd,9c,8c,4c,8s,3h,3,1,93,k,386458
Qd,7h,9c,8c,4c,8s,3h,3,2,771,k,386261
Ac,Jh,4c,3d,9d,5d,Qs,3,1,70,k,366317
8c,Kd,4c,3d,9d,5d,Qs,3,2,578,k,337405
8s,Th,4c,3d,9d,5d,Qs,3,3,83,k,304450
8d,8c,5h,7c,9c,Tc,Qs,3,1,5,k,386276
Qh,8s,5h,7c,9c,Tc,Qs,3,2,0,k,394712
Ac,Th,4d,7s,6s,Kh,Qc,3,1,187,k,368698
Jd,Tc,4d,7s,6s,Kh,Qc,3,2,79,k,337771
3c,8c,2d,2s,Kc,4c,6d,3,1,34,k,373234
7c,5c,2d,2s,Kc,4c,6d,3,2,304,k,373221
Ac,7d,2d,2h,9s,3h,2s,2,1,110,k,1114042
Tc,Js,2d,2h,9s,3h,2s,2,2,43,k,1114004
7h,Qs,4s,2d,Jc,Ad,8h,2,1,271,k,366306
9s,6c,4s,2d,Jc,Ad,8h,2,2,704,k,363770
9s,7d,Kc,Ks,6c,Ah,Kd,2,1,272,k,1115901
9d,3h,Kc,Ks,6c,Ah,Kd,2,2,704,k,1115901
Ac,8c,6d,Ks,Th,4d,5c,2,1,107,k,368333
9h,Ah,6d,Ks,Th,4d,5c,2,2,46,k,368346
8s,Js,5s,Qh,5d,9d,Tc,2,1,111,k,1485182
Jd,Ts,5s,Qh,5d,9d,Tc,2,2,307,k,743987
Js,Qd,Kd,3s,Td,Th,2c,2,1,14,k,390867
Jd,Kh,Kd,3s,Td,Th,2c,2,2,39,k,744558
Qs,Js,Ad,9c,Tc,3d,5d,2,1,73,k,366334
4d,Ts,Ad,9c,Tc,3d,5d,2,2,345,k,390991
5d,Qh,5h,3s,Jc,2s,2h,2,1,26,k,743103
Kc,Qd,5h,3s,Jc,2s,2h,2,2,127,k,373291
Tc,9c,3d,As,8s,9h,7h,2,1,43,b,388810
9s,4s,3d,As,8s,9h,7h,2,2,9,c,388783
Js,8d,8s,3h,6c,7d,Kd,2,1,14,k,386456
Qh,7h,8s,3h,6c,7d,Kd,2,2,3,k,384273
Tc,Jd,4s,3s,6s,2h,7h,2,1,125,k,275524
Ad,9h,4s,3s,6s,2h,7h,2,2,28,k,359010
7c,Tc,2h,2d,Ad,Qc,6h,2,1,790,k,373459
5s,Js,2h,2d,Ad,Qc,6h,2,2,185,k,373460
9h,Ah,5s,8h,Jc,Qh,2d,2,1,10,k,366320
Tc,Ac,5s,8h,Jc,Qh,2d,2,2,42,k,366333
2d,4h,7c,Ah,5c,4c,8h,2,1,92,k,377798
Jd,Kh,7c,Ah,5c,4c,8h,2,2,326,k,368503
8h,Th,7d,2d,Kd,Ks,4s,2,1,216,k,396895
5h,3h,7d,2d,Kd,Ks,4s,2,2,759,k,396346
7s,6h,Ad,Th,Ts,8h,Kd,2,1,752,k,391046
4d,5h,Ad,Th,Ts,8h,Kd,2,2,224,k,391046
Ks,Kh,Kd,6d,4s,Jh,Tc,2,1,84,k,1115863
Ad,4c,Kd,6d,4s,Jh,Tc,2,2,333,k,377867
2s,5h,8d,3s,2h,3c,3d,2,1,10,b,2227771
Qc,Ad,8d,3s,2h,3c,3d,2,2,42,c,1114214
Kc,4c,Td,3s,3c,Qh,3d,2,1,198,k,1114201
Jh,4d,Td,3s,3c,Qh,3d,2,2,777,k,1114187
Qs,9s,6s,2d,Th,7d,Td,2,1,31,k,390655
Ah,2h,6s,2d,Th,7d,Td,2,2,122,k,743950
9s,5c,Qs,7c,Kh,5h,7d,2,1,183,k,743481
2s,9d,Qs,7c,Kh,5h,7d,2,2,792,k,384274
2d,9d,6h,Jh,6c,3c,4c,2,1,183,k,381695
7c,Kd,6h,Jh,6c,3c,4c,2,2,792,k,382062
Qs,Ad,Ks,8h,6s,Tc,Kd,2,1,338,k,397626
As,7h,Ks,8h,6s,Tc,Kd,2,2,79,k,397598
Kh,Th,Ah,9c,Jc,4d,2d,2,1,10,k,368531
6h,Jh,Ah,9c,Jc,4d,2d,2,2,42,k,393189
8s,8h,Qh,4h,9c,6d,Td,2,1,9,k,386276
Ac,Ts,Qh,4h,9c,6d,Td,2,2,43,k,391034
4d,4s,9s,Kh,Tc,Ad,2h,2,1,126,k,377866
8d,3d,9s,Kh,Tc,Ad,2h,2,2,27,k,368348
Td,Ad,2s,2d,5h,6d,7s,2,1,43,k,373430
Jh,Kh,2s,2d,5h,6d,7s,2,2,9,k,373274
As,9c,3c,Jd,Qc,2s,7d,2,1,70,k,366319
9h,Ah,3c,Jd,Qc,2s,7d,2,2,348,k,366319
4h,5h,2h,Tc,4c,8h,Qd,2,1,128,k,377487
Th,6d,2h,Tc,4c,8h,Qd,2,2,25,k,390641
2c,5s,4c,2s,Qc,Qh,7d,2,1,26,k,744281
Ac,Td,4c,2s,Qc,Qh,7d,2,2,127,k,395400
Qd,7d,2h,Ac,Ad,8h,7h,2,1,27,k,744689
6h,Ks,2h,Ac,Ad,8h,7h,2,2,127,k,399599
8s,5c,Kh,2h,Qs,4h,Kd,2,1,69,k,397231
7s,9d,Kh,2h,Qs,4h,Kd,2,2,348,k,397246
6c,8s,As,4h,8h,7h,4d,2,1,162,k,743638
2h,Qs,As,4h,8h,7h,4d,2,2,813,k,377851
Jh,Qh,6d,3c,8c,Ts,7c,2,1,68,k,306818
2s,3h,6d,3c,8c,Ts,7c,2,2,349,k,374925
9h,Ac,6c,5s,7d,4h,Ad,2,1,44,k,398909
7h,9c,6c,5s,7d,4h,Ad,2,2,8,k,384401
Th,5c,Qd,Ad,9c,Qs,2d,2,1,150,k,395402
Tc,3h,Qd,Ad,9c,Qs,2d,2,2,825,k,395402
9d,Th,Ah,Qh,4d,3c,8c,2,1,823,k,366151
3s,2c,Ah,Qh,4d,3c,8c,2,2,153,k,375654
Ac,4d,7h,Tc,Kc,Jd,Kh,2,1,354,k,397613
3s,9s,7h,Tc,Kc,Jd,Kh,2,2,64,k,397092
2s,8s,As,Qh,2c,9d,Ts,2,1,63,k,373459
4d,5h,As,Qh,2c,9d,Ts,2,2,354,k,366148
Kd,3h,Qd,6d,5d,Qh,As,2,1,353,k,395438
9s,8s,Qd,6d,5d,Qh,As,2,2,65,k,395388
2h,Ah,Ac,9d,Kc,Kd,9s,2,1,3,k,744764
8h,Kh,Ac,9d,Kc,Kd,9s,2,2,14,b,2227908
2h,Ah,Ac,9d,Kc,Kd,9s,2,1,3,c,744764
9c,As,Kc,Qc,6d,Tc,4d,2,1,8,k,368700
Qh,Ad,Kc,Qc,6d,Tc,4d,2,2,44,k,395442
Th,Qc,Jh,Kh,Ad,6c,Jd,2,1,2,Q,1485184
9d,Jc,5d,8d,Qh,5s,4d,3,1,303,k,379698
2h,6s,5d,8d,Qh,5s,4d,3,2,437,k,379656
6d,Ts,2d,Th,4d,Jd,4c,3,1,26,b,743973
Ks,4h,2d,Th,4d,Jd,4c,3,2,13,r,1114369
6d,Ts,2d,Th,4d,Jd,4c,3,1,26,c,743973
Ac,5h,7c,Th,Kd,2c,3d,3,1,232,k,368319
Jh,6s,7c,Th,Kd,2c,3d,3,2,306,k,335365
Qd,4h,8d,5h,Qh,6s,8h,3,2,81,k,744358
Kh,9d,8d,5h,Qh,6s,8h,3,3,109,k,386471
8s,6d,Kh,9c,As,3c,Jc,3,1,310,k,368517
7h,Tc,Kh,9c,As,3c,Jc,3,2,423,k,368531
7c,5d,3d,Ad,9c,2s,3s,3,1,318,k,375614
Qc,Tc,3d,Ad,9c,2s,3s,3,2,174,k,375656
4d,Qd,3d,Ad,9c,2s,3s,3,3,232,k,375655
Kh,Jd,4h,3d,5c,Ad,Jh,3,2,149,k,393240
Js,Kc,4h,3d,5c,Ad,Jh,3,3,82,k,393240
5c,Jc,8c,Ts,9c,Ks,Kd,3,1,36,k,397092
8h,2s,8c,Ts,9c,Ks,Kd,3,2,49,k,744531
9h,Kc,Ts,Qs,Qd,7h,Td,4,2,94,k,744391
Kd,8c,Ts,Qs,Qd,7h,Td,4,4,365,k,744391
5s,7s,5c,As,4s,Ad,4d,3,1,37,k,744658
Jd,Ks,5c,As,4s,Ad,4d,3,3,12,k,744651
8h,5s,7c,Kd,6h,7h,Jh,3,1,30,k,384260
6s,8d,7c,Kd,6h,7h,Jh,3,2,94,k,743494
Ac,As,Tc,Ts,5s,9d,4c,3,1,7,k,744725
4d,5h,Tc,Ts,5s,9d,4c,3,2,10,b,743984
Ac,As,Tc,Ts,5s,9d,4c,3,1,7,c,744725
Jd,7h,Kc,5s,9s,Td,6h,3,1,307,k,335392
3d,2d,Kc,5s,9s,Td,6h,3,2,74,k,332985
8h,Ac,Kc,5s,9s,Td,6h,3,3,252,k,368348
9s,Jd,Ts,8s,6s,3s,Js,3,1,71,b,2132355
2c,Kd,Ts,8s,6s,3s,Js,3,2,81,c,2132157
4h,7h,Th,Ad,3h,Qs,4s,5,1,25,b,377853
As,7d,Th,Ad,3h,Qs,4s,5,2,4,c,399456
Qc,9h,8c,Ts,Qd,Kh,4h,5,1,20,k,395233
Jh,Qh,8c,Ts,Qd,Kh,4h,5,4,9,k,395247
Jd,9d,8c,Ts,Qd,Kh,4h,5,5,2,b,1485183
Qc,9h,8c,Ts,Qd,Kh,4h,5,1,20,c,395233
Jh,Qh,8c,Ts,Qd,Kh,4h,5,4,9,c,395247
2h,5h,Js,4d,4c,Td,6c,5,1,131,k,377316
3s,Qc,Js,4d,4c,Td,6c,5,2,960,k,377502
Jd,3d,5h,Ad,Js,2s,3s,4,1,68,k,744132
8h,8c,5h,Ad,Js,2s,3s,4,2,20,k,386623
4d,Kd,3c,As,5c,Qh,6h,6,2,56,b,368644
Kc,Qd,3c,As,5c,Qh,6h,6,3,16,c,395438
5d,Qs,Ac,Jd,Kh,8c,Qh,6,2,289,k,395443
Th,4h,Ac,Jd,Kh,8c,Qh,6,4,114,k,1485184
Jc,Ac,4c,Kd,Ts,Qd,Th,7,1,3,b,1485184
Td,4d,4c,Kd,Ts,Qd,Th,7,2,3,c,2227864
6s,9s,9d,2s,6h,Jh,3s,6,1,1,b,743830
Ts,Jd,9d,2s,6h,Jh,3s,6,3,6,c,392513
5h,Jh,5c,5d,7h,Tc,6h,6,1,6,b,1114511
Jc,5s,5c,5d,7h,Tc,6h,6,2,3,c,1114511
Ks,Td,Ts,5s,As,Tc,7d,7,5,4,k,1115398
9s,6s,Ts,5s,As,Tc,7d,7,6,22,k,2218011
8h,7h,6c,8c,8s,6s,3d,7,4,3,b,2227840
8d,7d,6c,8c,8s,6s,3d,7,7,1,c,2227840
8h,7d,2s,3d,8d,3s,3h,6,5,23,k,2227777
4d,Kd,2s,3d,8d,3s,3h,6,6,23,k,1114197
4h,9s,9d,9h,Ad,Qc,2c,7,2,17,b,1115228
Ac,Jc,9d,9h,Ad,Qc,2c,7,4,21,c,744715
Ts,Tc,Kc,Th,Kd,7s,Jh,6,2,4,b,2227873
8s,9s,Kc,Th,Kd,7s,Jh,6,5,10,c,1485181
6c,9d,9h,5h,Ts,9s,2s,7,2,8,b,1115170
Tc,8c,9h,5h,Ts,9s,2s,7,6,18,c,744035
Qc,Kc,6s,9d,5s,7d,Ac,7,4,4,k,368685
7s,Qs,6s,9d,5s,7d,Ac,7,6,4,k,384443
Ac,Qh,8h,5s,4h,8c,6c,5,3,45,k,386637
Jh,Kd,8h,5s,4h,8c,6c,5,4,33,k,386455
5h,Jh,Th,Qd,9h,Qc,8c,6,2,6,k,1485182
Jc,Tc,Th,Qd,9h,Qc,8c,6,6,4,b,1485182
5h,Jh,Th,Qd,9h,Qc,8c,6,2,6,c,1485182
4d,4h,7d,9d,7h,7s,3c,7,4,6,k,2227825
Ac,9h,7d,9d,7h,7s,3c,7,6,8,k,2227830
Tc,Ac,Ts,Th,Jh,3c,6c,7,5,494,b,1115396
Jc,9s,Ts,Th,Jh,3c,6c,7,7,30,c,744218
4c,Ah,3d,7d,9h,Td,4s,5,2,182,b,377826
Kc,8h,3d,7d,9h,Td,4s,5,4,65,c,333013
8c,Ad,8h,Kh,2h,Jc,Qd,7,1,28,k,386656
Tc,Qc,8h,Kh,2h,Jc,Qd,7,7,33,k,395247
Qh,As,Qd,2c,5s,3c,5h,7,1,357,b,744327
2d,9d,Qd,2c,5s,3c,5h,7,2,221,c,743103
Ah,3d,Th,3c,Qs,2h,3h,7,2,2,k,1114214
8h,9h,Th,3c,Qs,2h,3h,7,3,2,b,2101359
Ah,3d,Th,3c,Qs,2h,3h,7,2,2,r,1114214
8h,9h,Th,3c,Qs,2h,3h,7,3,2,c,2101359
Qs,4s,4c,8h,4d,Qd,Ts,8,4,7,k,2227794
Td,8c,4c,8h,4d,Qd,Ts,8,6,1,b,744026
Qs,4s,4c,8h,4d,Qd,Ts,8,4,7,r,2227794
Td,8c,4c,8h,4d,Qd,Ts,8,6,1,c,744026
2c,2d,Jc,Qd,Qc,3h,7c,9,6,3,k,744285
Kd,Ks,Jc,Qd,Qc,3h,7c,9,8,157,b,744584
2c,2d,Jc,Qd,Qc,3h,7c,9,6,3,c,744285
Qs,Qc,7c,Qd,7h,Js,7s,8,2,149,b,2227893
9d,9s,7c,Qd,7h,Js,7s,8,8,2,c,2227830
Td,Tc,9d,Js,8s,6d,As,7,3,14,k,391021
7s,Qs,9d,Js,8s,6d,As,7,5,2,b,2222771
Td,Tc,9d,Js,8s,6d,As,7,3,14,c,391021
Ad,5d,2d,3d,Ah,9d,3c,8,1,0,k,2215096
Td,Qd,2d,3d,Ah,9d,3c,8,5,1,b,2160847
Ad,5d,2d,3d,Ah,9d,3c,8,1,0,r,2215096
Td,Qd,2d,3d,Ah,9d,3c,8,5,1,c,2160847
Ad,5d,2d,3d,Ah,9d,3c,8,1,0,A,2215096
6s,4s,9s,4h,8s,5h,3d,8,2,669,k,376952
Js,5s,9s,4h,8s,5h,3d,8,8,10,k,379502
Kc,8s,8h,2h,3s,7h,Jh,7,2,20,k,386456
Jd,Th,8h,2h,3s,7h,Jh,7,4,39,k,2132169
5h,4d,3h,4s,Kh,7c,Jc,6,2,74,k,377668
3s,Ac,3h,4s,Kh,7c,Jc,6,5,40,k,375670
6s,Ad,4h,Kd,5c,Th,6c,4,1,49,k,382260
5h,Qs,4h,Kd,5c,Th,6c,4,2,33,k,379881
Ad,5d,Tc,2c,Th,Js,3h,5,1,1066,k,391017
9s,8s,Tc,2c,Th,Js,3h,5,5,16,k,390487
8d,Ad,8c,6c,Jd,4h,9h,5,1,9,k,386627
6s,Qc,8c,6c,Jd,4h,9h,5,2,8,k,381895
6c,Tc,9s,Qc,2c,8d,Qs,5,1,2,k,394712
Kh,Ks,9s,Qc,2c,8d,Qs,5,4,7,k,744582
6h,2d,Jh,6d,Jc,5s,9h,5,2,28,k,744166
Qc,9d,Jh,6d,Jc,5s,9h,5,4,17,b,744208
6h,2d,Jh,6d,Jc,5s,9h,5,2,28,c,744166
Qc,Tc,Ts,2s,3d,5c,Ac,5,2,13,k,391030
5d,5h,Ts,2s,3d,5c,Ac,5,3,5,b,1114550
Qc,Tc,Ts,2s,3d,5c,Ac,5,2,13,c,391030
8c,8d,5d,7h,Ad,6d,5s,6,1,7,k,743651
As,9c,5d,7h,Ad,6d,5s,6,6,17,k,744660
Jh,Kh,3s,6c,6d,9c,5h,6,5,31,k,382064
Js,Th,3s,6c,6d,9c,5h,6,6,12,k,381713
9d,Ac,8d,6d,9s,Kh,5s,7,6,3,k,388849
Ad,8c,8d,6d,9s,Kh,5s,7,7,2,k,386653
Kh,5h,Jh,4s,Qd,Ac,6s,6,1,353,k,368710
8s,3s,Jh,4s,Qd,Ac,6s,6,2,321,k,366305
Th,Qd,Qs,2h,8h,Kc,5h,6,1,4,k,395232
Ah,3h,Qs,2h,8h,Kc,5h,6,6,7,b,2212899
Th,Qd,Qs,2h,8h,Kc,5h,6,1,4,c,395232
8s,8h,Ks,2s,3h,Qc,2d,5,1,135,k,743611
6s,6d,Ks,2s,3h,Qc,2d,5,3,38,k,743273
5c,4c,Ks,2h,Tc,8h,2c,8,2,87,k,373262
Ad,9h,Ks,2h,Tc,8h,2c,8,4,50,k,373472
6h,6c,Ks,2h,Tc,8h,2c,8,6,22,k,743273
As,Kd,8h,Jh,Qc,2c,5c,10,1,140,k,368712
Ks,Th,8h,Jh,Qc,2c,5c,10,2,68,k,337772
9s,Ts,3d,Js,3s,8h,Qc,9,5,0,b,1485182
Ac,3c,3d,Js,3s,8h,Qc,9,7,0,c,1114214
9s,Ts,3d,Js,3s,8h,Qc,9,5,0,A,1485182
As,Qs,3s,Kd,6s,Jh,Ks,9,2,5,k,2225107
Ad,Ah,3s,Kd,6s,Jh,Ks,9,7,11,k,744766
6s,As,Ts,5c,7s,Js,8h,9,2,20,b,2220391
Kh,Ks,Ts,5c,7s,Js,8h,9,4,10,c,397091
5d,4d,6d,2h,7d,Qh,8h,8,7,3,b,1485178
Qd,Ah,Qc,Ks,Ad,6d,7s,8,2,0,b,744755
7d,Kd,Qc,Ks,Ad,6d,7s,8,7,2,c,744522
Ac,Jh,5c,As,8s,7s,Js,8,1,28,k,744737
Kd,Ts,5c,As,8s,7s,Js,8,7,19,k,2220405
9h,Kh,5c,As,8s,7s,Js,8,8,34,b,368517
Ac,Jh,5c,As,8s,7s,Js,8,1,28,c,744737
Kd,Ts,5c,As,8s,7s,Js,8,7,19,c,2220405
Jd,Td,Jc,7h,7s,6s,2h,5,4,9,b,744180
Qs,Qh,Jc,7h,7s,6s,2h,5,5,1,c,744350
6h,7h,As,Js,Td,5c,2h,4,2,775,k,363926
9d,4d,As,Js,Td,5c,2h,4,4,326,k,363951
Kd,9c,Kh,Ks,As,Ac,Js,3,1,103,b,2227913
Ad,6h,Kh,Ks,As,Ac,Js,3,2,253,r,2227925
Kd,9c,Kh,Ks,As,Ac,Js,3,1,103,c,2227913
7s,Qd,Js,Tc,Td,3h,9c,4,2,798,k,390683
5s,5c,Js,Tc,Td,3h,9c,4,4,172,k,743986
Qd,Ac,Td,Js,6c,Kc,6h,3,1,41,k,1485184
8c,9d,Td,Js,6c,Kc,6h,3,3,108,k,382065
Jh,Td,5d,Kd,7s,5c,3h,4,1,202,k,379868
9c,6c,5d,Kd,7s,5c,3h,4,2,905,k,379839
Kd,Ac,9c,6c,Kc,Ad,9h,4,1,9,k,744764
Jc,4c,9c,6c,Kc,Ad,9h,4,2,3,b,2191646
Kd,Ac,9c,6c,Kc,Ad,9h,4,1,9,c,744764
Jd,3s,2c,2h,2s,Kh,2d,2,1,907,k,2599062
Td,9c,2c,2h,2s,Kh,2d,2,2,397,k,2599062
7h,8h,Kh,8s,5c,6h,Ad,3,1,375,k,386651
6c,Qs,Kh,8s,5c,6h,Ad,3,2,420,k,382262
5s,Qs,4c,6c,4d,Kd,8c,3,1,876,k,377682
Qd,2c,4c,6c,4d,Kd,8c,3,2,1004,k,377682
Jd,3d,5c,6c,Kd,6h,8c,3,1,753,k,382063
7c,2s,5c,6c,Kd,6h,8c,3,2,175,k,382023
8d,9d,5c,6c,Kd,6h,8c,3,3,657,k,743663
Tc,Kd,Kc,Js,Qc,6h,3s,3,1,9,k,397275
Ts,9d,Kc,Js,Qc,6h,3s,3,2,11,b,1485183
Tc,Kd,Kc,Js,Qc,6h,3s,3,1,9,c,397275
Kc,4d,Kh,Qs,8c,7c,6c,3,2,24,k,397233
Kd,Jh,Kh,Qs,8c,7c,6c,3,3,89,k,397273
Ts,As,4c,7c,Jd,Jh,5s,3,1,837,k,393203
3d,2s,4c,7c,Jd,Jh,5s,3,2,1049,k,391952
3h,5s,Kd,Ac,Qc,Qd,2d,3,2,197,k,395437
