Play Prior,Bet Prior,Fold Prior,Has Pair Raise Prior,No Pair Raise Prior,Number Of Players,Position,Pot Size,Action,Has Pair
0.78125,0.16471,0.17647,0.33333,0.29412,9,5,877,c,0
0.42857,0.15385,0.51282,0.00000,0.16667,9,9,336,c,0
0.78788,0.17045,0.17045,0.33333,0.33333,8,2,240,B,0
0.47826,0.17647,0.44118,0.00000,0.00000,8,7,1526,c,0
0.78788,0.17978,0.16854,0.33333,0.36842,8,2,240,r,0
0.47826,0.17143,0.42857,0.00000,0.00000,8,7,1526,c,0
0.79104,0.18889,0.16667,0.33333,0.40000,7,1,291,B,0
0.49254,0.16667,0.46667,0.50000,0.25000,7,2,1619,B,0
0.79104,0.18681,0.16484,0.33333,0.38095,7,1,291,c,0
0.49254,0.16484,0.46154,0.50000,0.22222,7,2,1619,c,0
0.57143,0.17949,0.33333,0.00000,0.25000,8,2,2302,B,0
0.79412,0.18478,0.16304,0.33333,0.36364,8,8,1589,c,0
0.57143,0.17500,0.32500,0.00000,0.20000,8,2,2302,k,0
0.50000,0.40000,0.60000,1.00000,0.00000,8,1,516,B,1
0.38889,0.17391,0.57971,0.00000,0.00000,8,3,517,c,0
0.35135,0.23913,0.69565,1.00000,0.00000,8,4,497,r,1
0.77465,0.17895,0.17895,0.33333,0.34783,8,5,226,c,0
0.45714,0.16667,0.50000,0.00000,0.14286,8,8,91,c,0
0.50000,0.33333,0.50000,0.50000,0.00000,8,1,516,c,1
0.38889,0.17143,0.57143,0.00000,0.00000,8,3,517,c,0
0.43590,0.15385,0.51923,0.00000,0.14286,8,4,318,c,1
0.46875,0.19149,0.46809,0.00000,0.00000,8,6,5129,c,0
0.43103,0.19737,0.52632,0.00000,0.00000,8,7,1825,c,0
0.55556,0.18367,0.36735,0.00000,0.33333,8,2,1792,B,0
0.45000,0.15094,0.50943,0.00000,0.12500,8,3,494,c,0
0.78947,0.18627,0.17647,0.33333,0.33333,8,8,1232,c,0
0.55556,0.18000,0.36000,0.00000,0.28571,8,2,1792,k,0
0.46341,0.16667,0.50000,0.00000,0.22222,8,2,495,B,0
0.79221,0.18447,0.17476,0.33333,0.32000,8,7,1231,c,0
0.48052,0.17308,0.48077,0.50000,0.20000,8,8,6833,c,0
0.46341,0.16364,0.49091,0.00000,0.20000,8,2,495,k,0
0.45455,0.23077,0.53846,0.50000,1.00000,8,2,3610,B,0
0.79487,0.18269,0.17308,0.33333,0.30769,8,6,1584,c,0
0.45455,0.21429,0.50000,0.50000,0.50000,8,2,3610,k,0
0.45946,0.20755,0.47170,0.00000,0.16667,9,1,5996,B,0
0.80000,0.17757,0.16822,0.33333,0.29630,9,5,913,c,0
0.45946,0.20370,0.46296,0.00000,0.14286,9,1,5996,c,0
0.79762,0.18584,0.16814,0.33333,0.32143,6,1,600,B,0
0.43284,0.20455,0.51136,0.00000,0.16667,6,4,1421,r,0
0.79762,0.18421,0.16667,0.33333,0.31034,6,1,600,c,0
0.46512,0.21311,0.45902,0.00000,0.25000,6,1,12018,B,0
0.44928,0.21111,0.50000,0.00000,0.28571,6,2,4267,B,0
0.46512,0.20968,0.45161,0.00000,0.22222,6,1,12018,c,0
0.44928,0.20879,0.49451,0.00000,0.25000,6,2,4267,k,0
0.45714,0.21739,0.48913,0.00000,0.33333,6,1,2560,B,0
0.79310,0.17949,0.17094,0.33333,0.30000,6,4,1078,c,0
0.45714,0.21505,0.48387,0.00000,0.30000,6,1,2560,c,0
0.79545,0.17797,0.16949,0.33333,0.29032,7,3,283,c,0
0.44231,0.17391,0.53623,0.00000,0.20000,7,5,117,c,1
0.46479,0.22340,0.47872,0.00000,0.36364,7,7,674,r,0
0.79545,0.17647,0.16807,0.33333,0.28125,7,3,283,c,0
0.44231,0.17143,0.52857,0.00000,0.20000,7,5,117,c,1
0.50000,0.30769,0.53846,0.00000,1.00000,7,1,299,B,0
0.79775,0.18333,0.16667,0.33333,0.30303,7,2,895,B,0
0.50000,0.23810,0.42857,0.50000,0.33333,7,3,2103,c,0
0.45283,0.16901,0.52113,0.00000,0.20000,7,4,372,c,1
0.47826,0.20000,0.44615,0.00000,0.20000,7,5,6009,c,0
0.50000,0.28571,0.50000,0.00000,0.50000,7,1,299,c,0
0.79775,0.18182,0.16529,0.33333,0.29412,7,2,895,k,0
0.80000,0.18852,0.16393,0.33333,0.31429,7,1,1342,B,0
0.52941,0.27273,0.40909,0.50000,0.50000,7,2,3155,B,0
0.54545,0.26667,0.46667,0.00000,0.50000,7,7,449,c,1
0.80000,0.18699,0.16260,0.33333,0.30556,7,1,1342,c,0
0.52941,0.26087,0.39130,0.50000,0.40000,7,2,3155,k,0
0.45455,0.17808,0.52055,0.00000,0.27273,7,2,263,B,0
0.58333,0.31250,0.43750,0.00000,0.66667,7,6,211,r,0
0.45455,0.17568,0.51351,0.00000,0.25000,7,2,263,c,0
0.46939,0.20588,0.45588,0.00000,0.27273,7,2,10301,B,0
0.61538,0.29412,0.41176,0.00000,0.50000,7,5,494,c,0
0.46939,0.20290,0.44928,0.00000,0.25000,7,2,10301,k,0
0.48000,0.21429,0.44286,0.00000,0.30769,7,1,7211,B,0
0.44737,0.22222,0.49495,1.00000,0.36364,7,2,2563,B,1
0.47368,0.18182,0.50649,0.00000,0.23077,7,7,461,c,0
0.48000,0.21127,0.43662,0.00000,0.28571,7,1,7211,c,0
0.44737,0.22000,0.49000,0.50000,0.36364,7,2,2563,k,1
0.60000,0.26316,0.42105,0.00000,0.40000,7,3,384,c,0
0.78723,0.18110,0.17323,0.33333,0.29730,7,4,1193,c,0
0.62500,0.30000,0.40000,0.00000,0.50000,8,2,453,B,0
0.47458,0.17722,0.50633,0.00000,0.21429,8,5,658,c,0
0.62500,0.28571,0.38095,0.00000,0.42857,8,2,453,k,0
0.45833,0.25806,0.48387,0.50000,0.50000,8,2,2294,B,0
0.47541,0.17284,0.50617,0.00000,0.20000,8,3,418,c,0
0.33333,0.00000,0.66667,0.00000,0.00000,8,4,54,c,0
0.36508,0.25000,0.63750,1.00000,0.00000,8,7,2222,c,0
0.45833,0.25000,0.46875,0.50000,0.42857,8,2,2294,k,0
0.49206,0.19048,0.48810,0.00000,0.25000,9,1,575,B,0
0.40000,0.20000,0.60000,0.00000,0.50000,9,2,76,B,0
0.48214,0.19481,0.44156,0.00000,0.26667,9,3,9013,c,0
0.49206,0.18824,0.48235,0.00000,0.23529,9,1,575,c,0
0.40000,0.16667,0.50000,0.00000,0.33333,9,2,76,k,0
0.50794,0.20690,0.42529,0.00000,0.25000,9,5,1264,c,0
0.76415,0.19580,0.19580,0.42857,0.29730,9,9,194,r,1
0.50794,0.20455,0.42045,0.00000,0.23529,9,5,1264,c,0
0.53571,0.25000,0.44444,0.00000,0.37500,8,6,243,c,0
0.76636,0.19444,0.19444,0.42857,0.28947,8,7,847,c,0
0.56250,0.25000,0.42500,0.00000,0.44444,8,2,245,B,0
0.77477,0.18919,0.18919,0.42857,0.28205,8,3,845,c,0
0.56250,0.24390,0.41463,0.00000,0.40000,8,2,245,k,0
0.77679,0.19463,0.18792,0.42857,0.30000,8,2,637,B,0
0.49474,0.23387,0.45968,0.66667,0.36364,8,7,1504,r,1
0.77679,0.19333,0.18667,0.42857,0.29268,8,2,637,c,0
0.47059,0.25000,0.50000,0.00000,1.00000,8,1,35,B,0
0.37500,0.24752,0.61386,0.66667,0.00000,8,6,359,c,1
0.60000,0.26667,0.40000,0.00000,0.45455,8,7,48,r,0
0.78070,0.19608,0.18301,0.42857,0.28571,8,8,159,c,0
0.47059,0.23810,0.47619,0.00000,0.50000,8,1,35,c,0
0.37500,0.24510,0.60784,0.50000,0.00000,8,6,359,c,1
1.00000,0.00000,0.00000,0.00000,0.00000,8,5,31,c,1
0.50000,0.23881,0.45522,0.66667,0.41667,8,8,672,r,0
1.00000,0.00000,0.00000,0.00000,0.00000,8,5,31,c,1
0.60976,0.25926,0.38889,0.00000,0.50000,8,1,232,B,0
0.56522,0.28571,0.39286,0.00000,0.66667,8,2,170,B,0
0.38372,0.24545,0.60000,0.50000,0.00000,8,8,2161,c,0
0.60976,0.25455,0.38182,0.00000,0.46154,8,1,232,c,0
0.56522,0.27586,0.37931,0.00000,0.50000,8,2,170,k,0
0.37500,0.22951,0.57377,0.50000,0.50000,8,2,1050,B,0
0.50000,0.24265,0.45588,0.66667,0.46154,8,6,1051,r,0
0.37500,0.22581,0.56452,0.50000,0.44444,8,2,1050,c,0
0.62791,0.24561,0.36842,0.00000,0.46154,8,7,118,c,1
0.60000,0.31250,0.37500,0.00000,0.60000,8,8,93,r,0
0.62791,0.24138,0.36207,0.00000,0.46154,8,7,118,c,1
0.60000,0.28947,0.36842,0.00000,0.50000,8,3,52,c,0
0.42424,0.21429,0.54762,0.00000,0.50000,8,6,13,r,0
0.60000,0.28205,0.35897,0.00000,0.42857,8,3,52,c,0
0.39286,0.23611,0.55556,0.66667,0.44444,8,2,1052,B,1
0.42857,0.22727,0.54545,0.00000,0.60000,8,4,26,r,0
0.39286,0.23288,0.54795,0.50000,0.44444,8,2,1052,c,1
0.41667,0.20000,0.53333,0.00000,1.00000,8,2,166,B,0
0.51327,0.24161,0.44295,0.66667,0.42857,8,5,2793,c,0
0.63636,0.28889,0.35556,0.00000,0.37500,8,8,231,c,0
0.41667,0.18750,0.50000,0.00000,0.50000,8,2,166,k,0
0.43243,0.23913,0.54348,0.00000,0.66667,8,2,6,B,0
0.64706,0.28261,0.34783,0.00000,0.33333,8,7,78,c,0
0.43243,0.25532,0.53191,0.00000,0.71429,8,2,6,r,0
0.64706,0.27660,0.34043,0.00000,0.30000,8,7,78,c,0
0.44186,0.25926,0.51852,1.00000,0.71429,9,5,0,r,1
0.63793,0.25000,0.35000,0.25000,0.46154,9,9,6,r,1
0.44186,0.27273,0.50909,1.00000,0.71429,9,5,0,r,1
0.63793,0.24691,0.34568,0.20000,0.46154,9,9,6,c,1
0.45455,0.23333,0.46667,0.33333,0.50000,8,1,14,B,1
0.44444,0.18182,0.63636,0.00000,0.00000,8,6,500,c,0
0.45455,0.25806,0.45161,0.50000,0.50000,8,1,14,r,1
0.44444,0.16667,0.58333,0.00000,0.00000,8,6,500,c,0
0.45455,0.25000,0.43750,0.40000,0.50000,8,1,14,c,1
0.50000,0.15385,0.53846,0.00000,0.00000,8,5,891,c,0
0.47826,0.24242,0.42424,0.40000,0.33333,8,8,34,c,0
0.50000,0.14286,0.50000,0.00000,0.00000,8,5,891,c,0
0.35780,0.24638,0.60870,0.50000,0.33333,8,1,3240,B,0
0.60938,0.23864,0.36364,0.20000,0.50000,8,2,395,B,0
0.54000,0.22059,0.41176,0.00000,0.22222,8,7,9025,c,0
0.35780,0.24460,0.60432,0.50000,0.25000,8,1,3240,c,0
0.60938,0.23596,0.35955,0.20000,0.46667,8,2,395,k,0
0.51163,0.24118,0.45294,0.66667,0.40000,8,5,2282,c,0
0.53333,0.19048,0.42857,0.00000,0.00000,8,8,4757,c,0
0.59722,0.24242,0.38384,0.20000,0.50000,7,1,315,B,0
0.60000,0.18519,0.37037,0.00000,0.16667,7,2,5238,B,0
0.66667,0.28767,0.32877,0.00000,0.27273,7,3,181,c,0
0.53704,0.22603,0.41781,0.00000,0.21053,7,5,7215,c,0
0.59722,0.24000,0.38000,0.20000,0.47059,7,1,315,c,0
0.60000,0.17857,0.35714,0.00000,0.14286,7,2,5238,k,0
0.67857,0.31579,0.31579,0.00000,0.33333,7,1,114,B,0
0.60811,0.23301,0.36893,0.20000,0.44444,7,6,196,c,0
0.67857,0.31169,0.31169,0.00000,0.30769,7,1,114,c,0
0.35833,0.23684,0.60526,0.50000,0.20000,8,5,740,c,0
0.68421,0.32051,0.30769,0.00000,0.35714,8,8,53,r,0
0.35833,0.23529,0.60131,0.50000,0.16667,8,5,740,c,0
1.00000,0.66667,0.33333,0.00000,1.00000,8,1,123,B,0
0.50725,0.23757,0.45856,0.66667,0.37500,8,3,523,c,0
0.66667,0.17647,0.35294,0.00000,0.12500,8,6,1091,c,0
0.68966,0.32911,0.30380,1.00000,0.35714,8,7,39,r,1
1.00000,0.50000,0.25000,0.00000,0.50000,8,1,123,c,0
0.50725,0.23626,0.45604,0.66667,0.35294,8,3,523,c,0
0.66667,0.17143,0.34286,0.00000,0.11111,8,6,1091,c,0
0.35632,0.22124,0.58407,0.60000,0.44444,7,2,259,B,1
0.71429,0.40000,0.30000,1.00000,0.50000,7,3,60,r,1
0.56410,0.22642,0.40881,1.00000,0.21053,7,4,728,r,1
0.36508,0.23602,0.59627,0.40000,0.16667,7,6,261,c,1
0.35632,0.21930,0.57895,0.50000,0.44444,7,2,259,c,1
0.71429,0.36364,0.27273,0.50000,0.50000,7,3,60,c,1
0.35870,0.22500,0.57500,0.50000,0.50000,5,2,3667,B,0
0.75000,0.33333,0.27778,0.50000,0.33333,5,3,839,c,0
0.35870,0.22314,0.57025,0.50000,0.45455,5,2,3667,k,0
1.00000,0.60000,0.22500,0.00000,1.00000,2,1,17536,B,0
1.00000,0.74359,0.10256,0.00000,1.00000,2,2,7443,B,0
1.00000,0.60976,0.21951,0.00000,1.00000,2,1,17536,r,0
1.00000,0.72500,0.10000,0.00000,0.50000,2,2,7443,c,0
1.00000,0.76667,0.11667,0.00000,0.66667,2,1,17368,B,0
1.00000,0.60938,0.28125,0.00000,1.00000,2,2,40918,B,0
1.00000,0.75410,0.11475,0.00000,0.50000,2,1,17368,c,0
1.00000,0.60000,0.27692,0.00000,0.75000,2,2,40918,k,0
1.00000,0.60526,0.25000,1.00000,0.75000,2,1,40911,B,1
1.00000,0.73973,0.12329,0.00000,0.60000,2,2,17376,B,0
1.00000,0.59740,0.24675,0.50000,0.75000,2,1,40911,c,1
1.00000,0.72973,0.12162,0.00000,0.50000,2,2,17376,k,0
1.00000,0.72115,0.15385,0.00000,0.57143,2,1,7448,B,0
1.00000,0.61321,0.23585,0.50000,0.80000,2,2,17531,B,0
