Play Prior,Bet Prior,Fold Prior,Average Number Of Players,Beginning Chip Count Vs Table Average,Is Winning
0.72727,0.11000,0.16000,4.0,1.2633,0
0.59091,0.11881,0.17822,4.366336633663367,1.1987,1
0.73913,0.11650,0.11650,4.339805825242719,0.6403,1
0.57143,0.10000,0.16000,4.44,1.1698,0
0.59091,0.08824,0.17647,5.176470588235294,1.2144,1
0.72727,0.11000,0.14000,5.26,0.1126,0
0.63636,0.08911,0.14851,5.594059405940594,0.4864,0
0.52174,0.08911,0.18812,5.663366336633663,0.8750,1
0.47826,0.10680,0.17476,5.699029126213592,0.8270,1
0.52174,0.10680,0.16505,6.0,3.2868,1
0.59091,0.09901,0.17822,6.0,0.7917,1
0.77273,0.08571,0.16190,6.0,0.0715,0
0.63636,0.09901,0.16832,6.0,0.3960,0
0.43478,0.10891,0.17822,6.0,0.7449,1
0.59091,0.08824,0.19608,6.0,0.7070,0
0.47826,0.09901,0.17822,6.306930693069307,3.3278,1
0.65217,0.10784,0.14706,6.470588235294118,0.7088,0
0.69565,0.05882,0.15686,6.509803921568627,0.0728,0
0.43478,0.07767,0.19417,6.165048543689321,0.7809,0
0.68182,0.10784,0.11765,6.313725490196078,0.6627,0
0.59091,0.14000,0.17000,4.6,2.4085,1
1.00000,0.21569,0.09804,2.127450980392157,0.7584,1
1.00000,0.22000,0.08000,2.0,0.0505,0
1.00000,0.22549,0.10784,2.0,1.9648,1
1.00000,0.24510,0.02941,2.0,0.0382,0
1.00000,0.21782,0.06931,2.0,1.9759,1
1.00000,0.24000,0.05000,2.0,0.0250,0
1.00000,0.21569,0.07843,2.0,1.9721,0
1.00000,0.22330,0.04854,2.0,0.0257,0
1.00000,0.21782,0.06931,2.0,1.9725,1
1.00000,0.22000,0.03000,2.0,0.0324,1
1.00000,0.21359,0.09709,2.0,1.9790,1
1.00000,0.23762,0.05941,2.0,0.0216,0
1.00000,0.20388,0.10680,2.0,1.9740,0
1.00000,0.21782,0.05941,2.0,0.0288,1
1.00000,0.22330,0.08738,2.0,1.9833,1
1.00000,0.24272,0.07767,2.0,0.0164,0
1.00000,0.24752,0.03960,2.0,1.9644,0
1.00000,0.21782,0.08911,2.0,0.0352,1
1.00000,0.21905,0.09524,2.0,1.9678,1
1.00000,0.23301,0.04854,2.0,0.0317,0
1.00000,0.24272,0.05825,2.0,1.9704,1
1.00000,0.23301,0.07767,2.0,0.0286,0
1.00000,0.19802,0.07921,2.0,1.9715,1
1.00000,0.27451,0.05882,2.0,0.0301,1
1.00000,0.20192,0.11538,2.0,1.9693,0
1.00000,0.26214,0.03883,2.0,0.0311,1
1.00000,0.23301,0.06796,2.0,1.9555,0
1.00000,0.24038,0.05769,2.0,0.0450,1
1.00000,0.21782,0.05941,2.0,1.9592,1
1.00000,0.25743,0.04950,2.0,0.0420,0
1.00000,0.21782,0.08911,2.0,1.9606,1
1.00000,0.27000,0.04000,2.0,0.0423,1
1.00000,0.20388,0.10680,2.0,1.9591,0
1.00000,0.30000,0.04000,2.0,0.0428,1
1.00000,0.19417,0.13592,2.0,1.9680,1
1.00000,0.26214,0.04854,2.0,0.0416,0
1.00000,0.24000,0.11000,2.0,1.9574,0
1.00000,0.25490,0.05882,2.0,0.0390,0
1.00000,0.20792,0.09901,2.0,1.9610,1
0.60870,0.09709,0.15534,8.689320388349515,0.8825,1
0.95238,0.19417,0.09709,2.592233009708738,1.9156,0
0.90476,0.21569,0.09804,2.715686274509804,0.0417,0
0.90476,0.22000,0.09000,3.0,1.5124,1
0.85714,0.17647,0.15686,2.9411764705882355,1.4822,0
0.95000,0.15385,0.14423,3.0,0.0270,0
0.81818,0.18269,0.09615,3.5384615384615383,1.7498,1
0.80952,0.16667,0.14706,3.6372549019607843,1.7169,0
0.77273,0.14563,0.15534,3.70873786407767,0.0444,1
0.63636,0.12000,0.16000,4.0,0.0341,0
0.76190,0.14000,0.14000,4.0,1.8931,0
0.86364,0.20588,0.08824,4.0,2.0265,1
0.72727,0.14286,0.17143,3.8476190476190477,0.0484,0
0.66667,0.12000,0.15000,3.62,0.0391,0
0.76190,0.16832,0.10891,3.0396039603960396,2.7810,0
0.95000,0.14706,0.12745,3.0,0.1080,1
0.86364,0.18447,0.06796,3.0,0.0519,1
0.72727,0.15385,0.15385,3.0,2.8379,0
0.85714,0.18627,0.12745,3.0,0.1090,1
0.86364,0.15385,0.10577,3.0,0.0549,1
0.95238,0.15534,0.11650,3.0,2.8375,1
0.80952,0.14706,0.14706,3.0,0.1091,0
0.85714,0.16505,0.11650,3.0,0.0506,0
0.86364,0.16346,0.13462,3.0865384615384617,1.9691,1
0.90476,0.14563,0.08738,3.145631067961165,0.0634,1
0.77273,0.24272,0.11650,5.320388349514563,3.4216,1
0.84211,0.13000,0.13000,3.27,0.0167,1
0.85714,0.14851,0.12871,3.297029702970297,0.3803,1
0.80952,0.24752,0.10891,3.0,2.6259,0
0.85000,0.16832,0.11881,3.0,0.0219,1
0.68182,0.15686,0.14706,3.0,0.3522,1
0.86364,0.29703,0.06931,3.0,2.6261,1
0.85000,0.12745,0.13725,3.0,0.0216,0
0.80952,0.13861,0.13861,3.0,0.3519,0
0.43478,0.07921,0.16832,6.247524752475248,0.7996,1
0.85714,0.26000,0.09000,3.13,2.6769,1
0.78947,0.12621,0.11650,3.29126213592233,0.0225,1
0.63636,0.13000,0.19000,3.78,0.3872,0
0.72727,0.18812,0.07921,4.128712871287129,0.6660,1
0.66667,0.08824,0.15686,5.676470588235294,0.1160,1
0.57143,0.11000,0.18000,4.97,0.5549,0
0.68182,0.22772,0.12871,5.02970297029703,3.3865,0
0.61905,0.17476,0.12621,5.475728155339806,0.4528,1
0.56522,0.08738,0.20388,5.466019417475728,0.4599,1
0.50000,0.07767,0.17476,5.854368932038835,1.1433,1
0.59091,0.08911,0.16832,5.772277227722772,0.6407,1
0.72727,0.10784,0.16667,4.911764705882353,0.6623,0
0.72727,0.11765,0.10784,4.401960784313726,0.3631,0
0.63636,0.13000,0.14000,4.0,1.8234,1
0.73913,0.14423,0.17308,4.0,0.9931,0
0.59091,0.09709,0.18447,4.388349514563107,0.4220,0
0.63636,0.11000,0.14000,4.96,0.1564,1
0.73913,0.09709,0.15534,5.990291262135922,0.6481,1
0.59091,0.08000,0.19000,6.55,4.8060,0
0.76190,0.14851,0.09901,6.881188118811881,0.2519,0
0.47826,0.08738,0.20388,6.330097087378641,0.3402,1
0.42857,0.06000,0.20000,7.09,0.2905,0
0.63636,0.11000,0.12000,7.02,0.1364,1
0.60870,0.07843,0.17647,7.03921568627451,0.1777,1
0.39130,0.03960,0.18812,9.227722772277227,0.0284,1
0.54545,0.06863,0.16667,6.764705882352941,0.6355,0
0.59091,0.09901,0.16832,6.683168316831683,5.0447,1
0.47826,0.09000,0.19000,6.69,0.3462,1
0.54545,0.08911,0.17822,6.782178217821782,0.2840,1
0.43478,0.07767,0.19417,6.543689320388349,0.1707,1
0.52174,0.07767,0.16505,6.116504854368932,0.5808,0
0.60870,0.08824,0.14706,5.950980392156863,4.5241,1
0.39130,0.08738,0.18447,5.844660194174757,0.3051,0
0.50000,0.08911,0.17822,6.346534653465347,0.0178,1
0.63636,0.11000,0.17000,5.34,0.2551,1
0.72727,0.07692,0.14423,5.048076923076923,0.8389,0
0.60870,0.10784,0.17647,5.049019607843137,0.5106,1
0.68182,0.05882,0.17647,5.862745098039215,0.1140,0
0.54545,0.08000,0.16000,5.24,0.0210,0
0.65217,0.09615,0.16346,5.25,0.4099,0
0.59091,0.13725,0.17647,5.254901960784314,3.5465,0
0.60870,0.08654,0.13462,5.355769230769231,0.8023,0
0.43478,0.08911,0.19802,5.396039603960396,0.4452,0
0.54545,0.08000,0.14000,5.22,0.0184,1
0.59091,0.09615,0.18269,5.1923076923076925,0.3457,0
0.68182,0.12000,0.17000,5.12,3.5369,1
0.72727,0.09901,0.13861,6.6138613861386135,0.0937,0
0.54545,0.10000,0.17000,5.91,0.7461,1
0.56522,0.09709,0.19417,6.825242718446602,0.3941,0
0.63636,0.06863,0.16667,7.627450980392157,0.0366,1
0.43478,0.06931,0.18812,7.633663366336633,0.9530,1
0.52174,0.06931,0.20792,7.871287128712871,2.6773,0
0.52174,0.06931,0.18812,8.247524752475247,0.0830,0
0.43478,0.09804,0.19608,7.676470588235294,0.7725,0
0.29167,0.05825,0.17476,9.116504854368932,0.1072,0
0.59091,0.07921,0.18812,9.514851485148515,0.1605,0
0.34783,0.06000,0.21000,9.57,1.1147,0
0.63636,0.08911,0.14851,6.891089108910891,0.7381,1
0.65217,0.06796,0.14563,8.932038834951456,0.1201,1
0.47826,0.06863,0.18627,9.519607843137255,0.0714,1
0.50000,0.06796,0.17476,9.524271844660195,1.3548,1
0.56522,0.05000,0.20000,9.57,3.7832,1
0.43478,0.04902,0.18627,9.588235294117647,0.1240,1
0.29167,0.04950,0.22772,9.386138613861386,1.4840,0
0.47826,0.07619,0.18095,7.876190476190477,1.0919,1
0.63636,0.08000,0.14000,6.76,0.0417,0
0.50000,0.08824,0.17647,6.294117647058823,3.0221,1
0.72727,0.07843,0.15686,5.882352941176471,0.1110,1
0.56522,0.10680,0.19417,5.349514563106796,1.1647,1
0.80000,0.16000,0.13000,3.78,1.0788,0
0.90476,0.17476,0.10680,3.2815533980582523,0.0392,1
1.00000,0.21569,0.04902,2.0,1.9610,0
1.00000,0.20388,0.09709,2.0,0.0390,1
1.00000,0.26471,0.09804,2.0,1.9618,1
1.00000,0.21154,0.06731,2.0,0.0384,0
1.00000,0.22000,0.11000,2.0,1.9622,1
1.00000,0.21359,0.09709,2.0,0.0383,1
1.00000,0.22000,0.07000,2.0,1.9600,0
1.00000,0.21359,0.07767,2.0,0.0397,1
1.00000,0.23529,0.09804,2.0,1.9603,1
1.00000,0.19608,0.08824,2.0,0.0388,0
1.00000,0.22772,0.06931,2.0495049504950495,1.9936,1
1.00000,0.19608,0.09804,2.264705882352941,0.0406,0
1.00000,0.19608,0.08824,2.4607843137254903,0.1266,0
1.00000,0.21359,0.11650,2.0970873786407767,0.3465,1
1.00000,0.23301,0.08738,2.0,1.1998,1
1.00000,0.19000,0.10000,2.0,0.7743,0
1.00000,0.23529,0.05882,2.0,1.2646,1
1.00000,0.20192,0.12500,2.0,0.7202,0
