hand1,hand2,board1,board2,board3,board4,board5,playerCount,position,potSize,Action
Kd,Qs,-,-,-,-,-,8,7,1259,c
-,-,-,-,-,-,-,8,8,104,f
-,-,-,-,-,-,-,8,1,1279,f
-,-,-,-,-,-,-,8,2,346,f
-,-,8d,5d,Ac,-,-,8,1,1279,-
-,-,8d,5d,Ac,-,-,8,2,346,-
3c,6h,8d,5d,Ac,-,-,8,3,340,k
-,-,8d,5d,Ac,-,-,8,4,150,k
-,-,8d,5d,Ac,-,-,8,5,101,k
-,-,8d,5d,Ac,-,-,8,6,19,-
Kd,Qs,8d,5d,Ac,-,-,8,7,1259,k
-,-,8d,5d,Ac,-,-,8,8,104,-
-,-,8d,5d,Ac,8s,-,8,1,1279,-
-,-,8d,5d,Ac,8s,-,8,2,346,-
3c,6h,8d,5d,Ac,8s,-,8,3,340,k
-,-,8d,5d,Ac,8s,-,8,4,150,k
-,-,8d,5d,Ac,8s,-,8,5,101,k
-,-,8d,5d,Ac,8s,-,8,6,19,-
Kd,Qs,8d,5d,Ac,8s,-,8,7,1259,k
-,-,8d,5d,Ac,8s,-,8,8,104,-
-,-,8d,5d,Ac,8s,Qc,8,1,444,-
-,-,8d,5d,Ac,8s,Qc,8,2,120,-
3c,6h,8d,5d,Ac,8s,Qc,8,3,118,b
-,-,8d,5d,Ac,8s,Qc,8,4,52,f
-,-,8d,5d,Ac,8s,Qc,8,5,35,f
-,-,8d,5d,Ac,8s,Qc,8,6,6,-
Kd,Qs,8d,5d,Ac,8s,Qc,8,7,437,c
-,-,8d,5d,Ac,8s,Qc,8,8,36,-
-,-,-,-,-,-,-,9,1,878,B
-,-,-,-,-,-,-,9,2,862,B
-,-,-,-,-,-,-,9,3,382,f
-,-,-,-,-,-,-,9,4,258,c
-,-,-,-,-,-,-,9,5,50,f
-,-,-,-,-,-,-,9,6,3201,c
