hand1,hand2,board1,board2,board3,board4,board5,playerCount,position,potSize,Action
Tc,Ks,-,-,-,-,-,7,2,65,B
Kc,Ks,5s,Jc,Qs,Js,3h,10,3,46,c
-,-,-,-,-,-,-,7,3,879,f
-,-,-,-,-,-,-,10,1,539,B
-,-,-,-,-,-,-,7,4,236,c
-,-,-,-,-,-,-,10,10,29,f
Qd,Qs,-,-,-,-,-,7,5,236,r
-,-,-,-,-,-,-,10,2,2570,B
-,-,-,-,-,-,-,7,6,113,c
-,-,-,-,-,-,-,10,3,61,f
-,-,-,-,-,-,-,7,7,15,c
-,-,-,-,-,-,-,10,4,465,f
-,-,-,-,-,-,-,7,1,860,f
-,-,-,-,-,-,-,10,5,272,c
Tc,Ks,-,-,-,-,-,7,2,65,c
-,-,-,-,-,-,-,10,6,38,f
-,-,-,-,-,-,-,7,4,236,c
-,-,-,-,-,-,-,10,7,1245,c
-,-,Td,Jc,2s,-,-,7,1,294,-
-,-,-,-,-,-,-,10,8,11,f
Tc,Ks,Td,Jc,2s,-,-,7,2,22,k
-,-,-,-,-,-,-,10,9,238,c
-,-,Td,Jc,2s,-,-,7,3,301,-
-,-,-,-,-,-,-,10,1,539,f
-,-,Td,Jc,2s,-,-,7,4,81,k
-,-,-,-,-,-,-,10,2,2570,r
Qd,Qs,Td,Jc,2s,-,-,7,5,80,b
-,-,-,-,-,-,-,10,5,272,c
-,-,Td,Jc,2s,-,-,7,6,38,f
-,-,-,-,-,-,-,10,7,1245,c
-,-,Td,Jc,2s,-,-,7,7,5,f
-,-,-,-,-,-,-,10,9,238,c
Tc,Ks,Td,Jc,2s,-,-,7,2,22,c
-,-,9c,7c,Ah,-,-,10,1,539,-
-,-,Td,Jc,2s,-,-,7,4,81,f
-,-,9c,7c,Ah,-,-,10,10,29,-
-,-,Td,Jc,2s,3c,-,7,1,99,-
-,-,9c,7c,Ah,-,-,10,2,2570,k
Tc,Ks,Td,Jc,2s,3c,-,7,2,7,k
-,-,9c,7c,Ah,-,-,10,3,61,-
-,-,Td,Jc,2s,3c,-,7,3,101,-
-,-,9c,7c,Ah,-,-,10,4,465,-
-,-,Td,Jc,2s,3c,-,7,4,27,-
-,-,9c,7c,Ah,-,-,10,5,272,k
Qd,Qs,Td,Jc,2s,3c,-,7,5,27,b
-,-,9c,7c,Ah,-,-,10,6,38,-
-,-,Td,Jc,2s,3c,-,7,6,13,-
-,-,9c,7c,Ah,-,-,10,7,1245,k
-,-,Td,Jc,2s,3c,-,7,7,1,-
-,-,9c,7c,Ah,-,-,10,8,11,-
Tc,Ks,Td,Jc,2s,3c,-,7,2,7,c
-,-,9c,7c,Ah,-,-,10,9,238,k
-,-,Td,Jc,2s,3c,Jh,7,1,99,-
-,-,9c,7c,Ah,9h,-,10,1,12670,-
Tc,Ks,Td,Jc,2s,3c,Jh,7,2,7,k
-,-,9c,7c,Ah,9h,-,10,10,685,-
-,-,Td,Jc,2s,3c,Jh,7,3,101,-
-,-,9c,7c,Ah,9h,-,10,2,60398,k
-,-,Td,Jc,2s,3c,Jh,7,4,27,-
-,-,9c,7c,Ah,9h,-,10,3,1434,-
Qd,Qs,Td,Jc,2s,3c,Jh,7,5,27,k
-,-,9c,7c,Ah,9h,-,10,4,10936,-
-,-,Td,Jc,2s,3c,Jh,7,6,13,-
-,-,9c,7c,Ah,9h,-,10,5,6406,k
-,-,Td,Jc,2s,3c,Jh,7,7,1,-
-,-,9c,7c,Ah,9h,-,10,6,896,-
-,-,-,-,-,-,-,7,1,165,B
-,-,9c,7c,Ah,9h,-,10,7,29273,b
-,-,-,-,-,-,-,7,2,2345,B
-,-,9c,7c,Ah,9h,-,10,8,265,-
-,-,-,-,-,-,-,7,3,631,f
-,-,9c,7c,Ah,9h,-,10,9,5595,f
-,-,-,-,-,-,-,7,4,641,r
